Neighborhood,Latitude,Longitude
Bình Chánh District,10.679220000000043,106.57654000000008
"Bình Tân District, Ho Chi Minh City",10.75908000000004,106.59206000000006
Bình Thạnh District,10.805180000000064,106.69280000000003
Cần Giờ District,10.41566000000006,106.96130000000005
Củ Chi District,10.977340000000027,106.50223000000005
"District 1, Ho Chi Minh City",10.780950000000075,106.69911000000008
"District 2, Ho Chi Minh City",10.791990000000055,106.74985000000004
"District 3, Ho Chi Minh City",10.775660000000073,106.68674000000004
"District 4, Ho Chi Minh City",10.766700000000071,106.70647000000008
"District 5, Ho Chi Minh City",10.755690000000072,106.66637000000009
"District 6, Ho Chi Minh City",10.745780000000025,106.64777000000004
"District 7, Ho Chi Minh City",10.70515000000006,106.73748000000006
"District 8, Ho Chi Minh City",10.74771000000004,106.66334000000006
"District 9, Ho Chi Minh City",10.820040000000063,106.83185000000009
"District 10, Ho Chi Minh City",10.768670000000043,106.66564000000005
"District 11, Ho Chi Minh City",10.763080000000059,106.64294000000007
"District 12, Ho Chi Minh City",10.850440000000049,106.62731000000008
Gò Vấp District,10.833790000000022,106.66557000000006
Hóc Môn District,10.888360000000034,106.59640000000007
Nhà Bè District,10.701530000000048,106.73818000000006
Phú Nhuận District,10.795650000000023,106.67464000000007
Tân Bình District,10.75908000000004,106.59206000000006
"Tân Phú District, Ho Chi Minh City",10.782320000000027,106.63667000000004
Thủ Đức District,10.84626000000003,106.76992000000007
